Channel 1 0.00, 0.48: Right  
Channel 2 0.51, 4.49: But he said he's glad that he did it because otherwise no one would've ever have known.  
Channel 1 4.77, 5.50: Well  
Channel 2 5.81, 6.40: So  
Channel 1 5.56, 7.36: Well I'll say   
Channel 2 7.22, 11.17: I'm glad too because you know I was having all that pain and I didn't know why.  
Channel 1 11.15, 16.63: Right well daddy says hi and to tell you that he wants you to get to feeling better too and he loves you.   
Channel 2 15.94, 17.90: oh thanks {laugh}  
Channel 1 17.42, 18.66: Thank you {laugh}  
Channel 2 18.58, 20.31: Tell him that I love him too.  
Channel 1 20.14, 21.50: He loves you too {breath}.  
Channel 2 21.32, 21.84: ((okay)) [[faint]] 
Channel 1 21.64, 22.99: Well bless your heart well  
Channel 2 22.66, 23.59: {lipsmack} Well (( )) [distortion]  
Channel 1 23.07, 25.15: You don't be up doing nothing, you l-  
Channel 2 25.03, 32.46: Well the the doctor said I could do everything just like normal he said that I should be fine he said just be careful because you know he I've got stitches in my belly button.  
Channel 1 32.56, 33.08: Right.  
Channel 2 33.30, 37.42: And he said to be careful with that but and he said everything else I could still do.  
Channel 1 37.60, 40.47: Well you you take easy for a few days anyway  
Channel 2 40.12, 42.05: Well I am.  &Toon's helping me.  
Channel 1 41.19, 42.34: Let &Toon baby you.  
Channel 2 42.65, 45.45: Well I am but &Toon just had surgery too so  
Channel 1 45.11, 46.43: He did?  On what?  
Channel 2 46.66, 48.38: They cut out his wisdom teeth {laugh}  
Channel 1 48.50, 49.49: oh they did!  
Channel 2 49.52, 52.67: And so he's not feeling good either so we're both sick {laugh}  
Channel 1 52.10, 56.23: &Toon had his wisdom teeth cut out well bless your heart I wish I was there to take care of you.  
Channel 2 56.17, 58.90: And so we're both kind of just taking care of each other {laugh}  
Channel 1 58.79, 59.94: Well good.  
Channel 1 60.24, 60.54: Well.   
Channel 2 59.85, 64.55: He's been washing the dishes and I picked up the house so was kind of trading off {laugh}  
Channel 1 62.69, 63.07: {laugh}  
Channel 1 64.37, 64.99: yeah.  
Channel 2 65.17, 65.86: So.  
Channel 1 65.25, 65.63: Well  
Channel 1 65.81, 66.26: %eh Just  
Channel 1 66.36, 69.39: ((l- )) [[stuttering]] Let the dishes mound up and let the house work go.   
Channel 2 69.70, 70.84: That's what &Toon said  
Channel 1 69.94, 70.97: It'll be alright.  
Channel 2 71.21, 71.73: &Toon said  
Channel 1 71.20, 71.90: That's right.  
Channel 2 72.06, 73.72: And &Toon said it'll be okay, honey.  
Channel 1 73.91, 78.70: {breath} Da- grandpa said put that little dishwasher in there to work {laugh} [[says laughing]]  
Channel 2 77.18, 78.45: {laugh} I know {breath}  
Channel 2 78.46, 83.29: we let him doing this this stuff because I don't feel like bending over every time I bend over my stomach hurts. 
Channel 1 83.18, 83.67: Right  
Channel 2 83.95, 88.85: And so everything that I want picked off the ground I go around the house dear and pick this up pick this up {laugh}  
Channel 1 87.73, 89.49: uh-huh {laugh}  
Channel 2 89.04, 90.58: He's like aw mom  
Channel 1 90.31, 91.43: {laugh}  
Channel 2 91.19, 99.64: But %uh the doctor kept telling me this is a good time he he came out and told &Toon while I was recovering he said {breath} she's ready for a baby now {laugh}  
Channel 1 99.46, 100.54: Well good [[drawn out]]  
Channel 2 100.82, 101.50: So  
Channel 1 101.02, 102.87: Well I'm so glad I guess you  
Channel 2 102.40, 104.67: the hospital sucked.  
Channel 1 103.24, 103.35: {lipsmack}  
Channel 1 104.81, 105.76: Is it bad?  
Channel 2 105.81, 107.53: oh my God  
Channel 2 108.08, 111.29: You never appreciate the care you get back home till you go here.  
Channel 1 109.75, 110.54: {laugh}  
Channel 1 111.25, 113.87: Is it is it like an old old house?  
Channel 2 113.82, 116.01: i- it's an old building  
Channel 1 116.21, 116.54: yeah.  
Channel 2 116.08, 117.46: And it's got   
Channel 2 117.54, 121.62: I mean they've got a lot of rooms and everything but they had six people  
Channel 2 121.82, 128.27: In my room with me six beds that were almost touching each other and no dividing curtains whatsoever.  
Channel 1 127.98, 128.59: Really.  
Channel 2 128.86, 132.00: We had one bathroom one shower and one toilet.  
Channel 1 132.11, 133.51: oh my lord {breath}.  
Channel 1 133.56, 137.58: Well when you get ready to have your baby you're going to have it here in the states not have it over there.    
Channel 2 137.45, 142.00: I know [[laughs at the end of word]] &Toon said and you want to have a baby here I said shut up {laugh}  
Channel 1 140.54, 142.87: {laugh}  
Channel 2 142.67, 143.62: {laugh}{breath}  
Channel 1 143.26, 144.48: {breath} Well.  
Channel 2 143.67, 153.80: So he he was giving me a hard time because last night I went in and I almost started crying I told &Toon I says I don't want to stay here and he's like honey %eh just make the best of it it's only one night I said I know.  
Channel 1 152.75, 153.30: Right.  
Channel 1 153.89, 156.29: It was %eh %eh %eh was it full of Germans?  
Channel 2 156.49, 160.92: Yes [[drawn out]]. I didn't have anyone to talk to I just sat there by myself {laugh}.  
Channel 1 157.48, 157.72: yeah.  
Channel 1 159.00, 160.21: Bless your heart.  
Channel 1 160.87, 163.40: Honey I'm so sorry I wish I could've been there.  
Channel 2 162.04, 167.13: (( )) My friends came up. My friend brought me a teddy bear my other friend brought me a plant.  
Channel 1 167.35, 168.66: Well how nice  
Channel 2 168.58, 174.61: {lipsmack} so I mean it was okay I mean it just bites being in another country not knowing [[says laughing]] the language {breath}  
Channel 1 172.94, 173.78: I know.  
Channel 1 174.47, 175.31: I know.  
Channel 2 175.35, 178.11: But %uh did &Stephanie tell you about my crystal bingo  
Channel 1 178.17, 179.75: {breath} yeah she sure did.  
Channel 2 179.76, 180.91: I won crystal.  
Channel 1 179.95, 181.17: You hit the jackpot.  
Channel 2 181.44, 182.34: I know.  
Channel 1 181.45, 182.40: That great.  
Channel 1 182.41, 185.54: {breath} She told me that you was going to the c- crystal factory too.  
Channel 2 184.44, 184.79: %hm  
Channel 2 185.54, 189.28: I'm planning on it. There's a trip coming up I think like December the eighth.  
Channel 1 189.17, 189.77: uh-huh.  
Channel 2 189.88, 196.89: And I told &Toon that I want to go and he said go because it's on a weekend so he's going to keep &Darrin and we're all of us girls are going to carpool together.  
Channel 1 195.95, 198.25: Well good good you need to.  
Channel 2 196.97, 197.83: {breath} But it  
Channel 2 198.44, 200.82: yeah that's what he said he said go ahead that's fine {laugh}  
Channel 1 200.60, 201.43: That's right.  
Channel 2 201.48, 203.04: So I was so tickled.  
Channel 1 201.80, 202.57: Well did you ever  
Channel 1 202.90, 205.11: Did you ever get your fifty that daddy and I sent you  
Channel 2 205.40, 206.40: Yes I did.  
Channel 1 206.44, 207.15: Well good.  
Channel 2 206.83, 208.72: Didn't you get you haven't gotten my letter yet?  
Channel 1 208.79, 209.20: %ha %ah  
